002007e1,          ," "
9ae9b523,          ,"KVS Key descriptors:"
9b528df3,          ,"KVS Failed to update all entries to the primary format"
9b9cde4d,          ,"KVS Writing key/value; key length=%u, value length=%u"
9c2acb5e,          ,"KVS Attempted out-of-bound flash memory access (address: %u length: %u)"
9d0e6146,          ,"KVS KVS full: trying to store a new entry, but can't. Have %u entries"
9d25da30,          ,"KVS Copying entry from %u to %u as ID %lu"
9dcacd5c,          ,"          The cumulative allocated heap memory is %u bytes."
a0bf88e5,          ,"KVS   Sector size      = %u"
a1cb5e37,          ,"KVS No empty sector found"
a60f3295,          ,"KVS Overwriting entry for key 0x%08x in %u sectors including %u"
a71f283f,          ,"KVS    Found sector %u with corruption"
a9ac9ddc,          ,"KVS   Unable to find a usable sector"
b109ce33,          ,"KVS Full maintenance finished with some errors"
b248d399,          ,"KVS Fell off end of sector; moving to the next sector"
b6ee86fa,          ,"KVS KVS init failed: kMaxUsableSectors (=%u) must be at least as large as the number of sectors in the flash partition (=%u)"
b7717e3c,          ,"KVS KVS configuration changed to redundancy of %u total copies per key"
b997373e,          ,"KVS Full maintenance complete"
bb8964cc,          ,"KVS Found match for key hash 0x%08lx"
be290f47,          ,"          free() is called %u times. (realloc() counted as one time)"
c0d35549,          ,"KVS    Key missing copies added"
c28038cc,          ,"KVS    Write any needed additional duplicate copies of keys to fulfill %u redundancy"
c345d100,          ,"KVS   Max entry count = %u"
c4d89ca0,          ,"KVS Multiple Redundant entries in same sector %u"
c5792a96,          ,"    The current heap information: "
caf58681,          ,"KVS       #     tail free  valid    has_space"
cb7e12fd,          ,"KVS   Alignment        = %u"
ccab69f2,          ,"KVS Second pass: Count valid bytes in each sector"
ce5b9f87,          ,"KVS Expected checksum 0x%08lx, found 0x%08lx"
cfa87326,          ,"KVS Attempted to erase sector at non-sector aligned boundary; address %x"
d202f5d1,          ,"KVS Found entry magic at address %u"
d43b1d39,          ,"KVS Found key hash collision for 0x%08lx"
d65540c4,          ,"KVS    Address      = 0x%x"
d7c195a4,          ,"KVS   Entry count     = %u"
d7c2cbe5,          ,"KVS    Pass %u"
da03df49,          ,"          The cumulative freed heap memory is %u bytes."
dada8472,          ,"KVS Unable to find sector to write %u B"
dcab0652,          ,"KVS FlashAddressToMcuAddress beyond end of memory; address %x, max address %x"
e121f463,          ,"KVS Load entry: sector=%u, entry#=%d, address=%u"
e457fb7d,          ,"          The total heap size is %u bytes."
e513e899,          ,"KVS    Key with %u of %u copies found, adding missing copies"
e5576adb,          ,"KVS    |%3zu: | %8zx  |%8zu  | %8zu | %8zx"
e65cb0eb,          ,"KVS No valid entries for key. Data has been lost!"
e9820589,          ,"KVS KVS init failed: sector_size_bytes (=%u) is greater than maximum allowed sector size (=%u)"
ea212c30,          ,"KVS   - Key: %s, hash %#x, transaction ID %u, first address %#x"
eb15d18d,          ,"KVS    Checksum     = 0x%x"
ee27da65,          ,"KVS KeyValueStore init complete: active keys %u, deleted keys %u, sectors %u, logical sector size %u bytes"
efa2eb23,          ,"KVS Duplicate entry for key 0x%08lx with transaction ID %lu has non-matching hash"
f18c5d78,          ,"KVS Write crosses sector boundary; address %x, size %u B"
f21942b4,          ,"KVS   Found a usable empty sector; returning the first found (%u)"
f46200fa,          ,"KVS Found corrupt magic: %lx at address %u"
f5f9a8fe,          ,"KVS Writing tombstone for key 0x%08x in %u sectors including %u"
f917667f,          ,"KVS   Sectors in use   = %u"
f9598ff0,          ,"KVS Write for key 0x%08x with matching value skipped"
fb2f7451,          ,"KVS Failed to write %u bytes at %#x. %u actually written"
fe0c9f10,          ,"KVS   Garbage Collect sector %u complete"
